epoch,train_loss,val_loss,IC
1,0.0009778731118183694,0.00038065758557574253,0.7892277531031165
2,0.00042492569655825735,0.0002844956333850253,0.851088693196679
3,0.0003794904683286325,0.00027919760742634026,0.8519262134068819
4,0.0003733802569427938,0.0002863964421635501,0.8519060108832728
5,0.0003650536289170282,0.000284742447017076,0.8518766191945233
6,0.00036450088768239165,0.00030499355724108074,0.8514434433076975
7,0.00037461958245235536,0.000308908246476373,0.8507267803757476
8,0.00036914949053739243,0.0003340677203217031,0.8515202418090684
9,0.00035558572836042395,0.000342212378958114,0.8520701095319112
10,0.0003464501253957434,0.0003383429005907601,0.8522946882217363
11,0.0003416680879047719,0.0003342363730401606,0.8524188906919216
12,0.00033728745769406545,0.0003270911547967141,0.8524684480755313
13,0.0003332075788554304,0.0003168285145041712,0.8527129745306816
14,0.00033009895196934723,0.00030994060216471553,0.8528443829530976
15,0.00032736636273451766,0.00030563333571838786,0.8529804549871669
16,0.00032483627272954165,0.0003034718567202314,0.8531236606459363
17,0.0003228321378761704,0.00030190467142195604,0.8532700442420721
18,0.0003195320401725664,0.0003022914603434401,0.8535650783434582
19,0.0003176335145637007,0.00030330302168598183,0.8535258624331122
20,0.00031539366727408697,0.0003037536963764372,0.8536532894438253
21,0.000314398354604341,0.0003042519528548837,0.8537372105042095
22,0.0003136112753225601,0.00030462475054567523,0.8538173603635864
23,0.00031283225314976615,0.00030492080202293437,0.8539142623759972
24,0.0003120805039724115,0.00030519026915953873,0.8540173669752668
25,0.0003113861785602686,0.00030543986266214535,0.8541239406548728
26,0.00031066905467014294,0.0003055572038306309,0.8542448749316873
27,0.0003099785041743857,0.00030573585043687973,0.8543621523795467
28,0.000309327505910978,0.00030585012670295936,0.8544735075503005
29,0.00030872704045980306,0.00030584817682210996,0.8545775585521842
30,0.0003081808482588412,0.0003058035604226461,0.8546690302951514
31,0.00030766739860234435,0.0003057550228125668,0.8547450836062633
32,0.00030718209698293495,0.00030554011857475416,0.8548179371296096
33,0.000306751258504824,0.00030539412004297145,0.8548790392925568
34,0.0003063367490945887,0.00030532064238286694,0.8549354211598756
35,0.000305963533361384,0.00030512302354660886,0.8549881941548776
36,0.00030560893113759364,0.0003048185655719256,0.8550387371758302
37,0.0003052965868897217,0.0003046835793346266,0.8550879975686428
38,0.0003049928731571409,0.00030444430632314834,0.855135477932396
39,0.00030470274171702933,0.00030423253576827847,0.8551826420079399
40,0.000304420230378454,0.0003039480792305464,0.8552282145625895
41,0.0003041526998690056,0.000303751833238645,0.8552704169407512
42,0.0003038586904829204,0.0003034273462390047,0.8553102914110765
43,0.0003036020173754491,0.0003032076216034814,0.8553462681095534
44,0.0003033492578395244,0.0003028817924549306,0.8553858076097238
45,0.0003031212917819781,0.0003026326382382649,0.8554224164109481
46,0.00030288424380188516,0.00030230081407959614,0.8554590390876342
47,0.00030264351571468353,0.00030198477721417777,0.85549521375138
48,0.0003024145310357471,0.0003017041272717809,0.8555356874962402
49,0.0003021919904341629,0.0003014625986187032,0.8555794134569148
50,0.000302021426364659,0.00030128219790033955,0.8556305368211851
