epoch,train_loss,val_loss,IC
1,0.0044813772538169145,0.0024922547984378507,0.5898773032200441
2,0.002453968212465171,0.002896088286441198,0.7048354531344146
3,0.0024234325380383336,0.0022697074616381684,0.7076904456816998
4,0.0023751096391201928,0.002236180750243143,0.710086694928289
5,0.002305082806079478,0.002428369443892386,0.7140768498816062
6,0.002268215286200538,0.002535837900788204,0.7162592633115169
7,0.0022296239017636625,0.002406982181997751,0.7192856160358903
8,0.0021646061672082055,0.002272572862046986,0.7217148177388386
9,0.002162889238038956,0.0023762222587115195,0.7216209515127304
10,0.0021212052749927496,0.002306082701336952,0.7244307802641291
11,0.0020853363318479486,0.0021144628280818285,0.7259762228561057
12,0.0020915364279506968,0.0026489200741975603,0.7271066321107522
13,0.002051057766127038,0.0021615456850606527,0.7267487904067236
14,0.002039986559157235,0.002005564273600337,0.7269693532312477
15,0.0020380030757349336,0.0023482999972167956,0.7294053325756518
16,0.002015929166723852,0.0020770680941887146,0.7303265320681234
17,0.0019847966894395476,0.0020227697350927052,0.7310512143377474
18,0.0019898580169902895,0.0019467680414014337,0.7325753030437776
19,0.0019955369507817238,0.0019491057283735733,0.7328986458600384
20,0.001975591266600435,0.0019834720710732146,0.7346592947649964
21,0.001964260579289678,0.0019272059501696979,0.7348727761252615
22,0.001982349248521511,0.0020557083399359703,0.7334493519065819
23,0.0019874461497653866,0.0019204466624799523,0.733016132967833
24,0.0019697658491333587,0.00233450702570594,0.7354890593603944
25,0.001959947151557702,0.001953371930289995,0.7368345490967568
26,0.0019617475906126003,0.0019525570358498489,0.735600624316742
27,0.0019611724564265447,0.0019124809876237385,0.7346570612414586
28,0.0019494063192278155,0.001932977471072542,0.7363328371714214
29,0.0019421790264841233,0.0018714706307816026,0.7366962334253943
30,0.0019289814685576486,0.0018433755410016993,0.7375657430092946
31,0.0019425995947294071,0.00186990892503687,0.7380624441335671
