k,mse_loss,mae_loss,rmse_loss,mape_loss,ic,rank_ic,icir,rankicir
2,0.0006931244157376429,0.01710997147930001,0.02297188211847002,5.009851243895323,0,0,0.0,0.0
3,0.000693004363508089,0.017105119002670956,0.022967814434754666,5.009020372695729,0,0,0.0,0.0
4,0.0006931679050965816,0.01711172555918394,0.022973347459990665,5.010154218238017,0,0,0.0,0.0
5,0.0006931202751268197,0.01710980452909158,0.022971742434266407,5.009822508405308,0,0,0.0,0.0
6,0.0006929929125542885,0.017104653960689525,0.02296742461716312,5.008941156610015,0,0,0.0,0.0
7,0.0006930515904008791,0.017107030400429584,0.022969418609524287,5.009346443989555,0,0,0.0,0.0
8,0.000693072790897813,0.017107886647531375,0.022970137176893387,5.009492909242659,0,0,0.0,0.0
9,0.0006932109726161807,0.017113456032167986,0.0229747944114361,5.010453867428194,0,0,0.0,0.0
10,0.0006930320816933589,0.017106241520569863,0.022968756547906827,5.009211716313048,0,0,0.0,0.0
