k,mse_loss,mae_loss,rmse_loss,mape_loss,ic,rank_ic,icir,rankicir
2,0.00012394459903622323,0.00242024700598694,0.008362804140697372,0.4869604516460235,0,0,0.0,0.0
3,0.00012289655747173606,0.0020848510204346843,0.008247470665988643,0.420323351719772,0,0,0.0,0.0
4,0.0001224750174311434,0.0019238057703408133,0.008198360755878788,0.3883267143763692,0,0,0.0,0.0
5,0.00012409380258806969,0.0024627371640673964,0.008378577335404763,0.4954024890819228,0,0,0.0,0.0
6,0.00012409338431273475,0.0024626194616315894,0.008378533292543068,0.4953791085017254,0,0,0.0,0.0
7,0.0001230606181788387,0.0021425948630696737,0.008266114059884295,0.43179598235222233,0,0,0.0,0.0
8,0.00012409338431273475,0.0024626194616315894,0.008378533292543068,0.4953791085017254,0,0,0.0,0.0
9,0.00012409338431273475,0.0024626194616315894,0.008378533292543068,0.4953791085017254,0,0,0.0,0.0
10,0.00012409338431273475,0.0024626194616315894,0.008378533292543068,0.4953791085017254,0,0,0.0,0.0
