threshold,mse_loss,mae_loss,rmse_loss,mape_loss,ic,rank_ic,icir,rankicir
0.1,0.00012409338431273475,0.0024626194616315894,0.008378533292543068,0.4953791085017254,0,0,0.0,0.0
0.2,0.00012409317557730864,0.002462560605504606,0.008378511267605734,0.49536741486036157,0,0,0.0,0.0
0.3,0.00012258226116413075,0.0019667558741370537,0.008211031400441495,0.3968600742668512,0,0,0.0,0.0
0.4,0.00012409317557730864,0.002462560605504606,0.008378511267605734,0.49536741486036157,0,0,0.0,0.0
0.5,0.00012409317557730864,0.002462560605504606,0.008378511267605734,0.49536741486036157,0,0,0.0,0.0
0.6,0.00012409338431273475,0.0024626194616315894,0.008378533292543068,0.4953791085017254,0,0,0.0,0.0
0.7,0.00012314382613969217,0.002171004506157165,0.008275477748633507,0.43744045807175846,0,0,0.0,0.0
0.8,0.00012314208692009652,0.0021704162043672667,0.008275282622060653,0.43732357228616153,0,0,0.0,0.0
0.9,0.00012409338431273475,0.0024626194616315894,0.008378533292543068,0.4953791085017254,0,0,0.0,0.0
