threshold,mse_loss,mae_loss,rmse_loss,mape_loss,ic,rank_ic,icir,rankicir
0.05,229488287658834.66,9309206.283807755,9321468.05004247,3312308003.174642,-0.09701445248487481,-0.09047174682745096,-6.764306793230363e-09,-4.562414118334619e-06
0.1,0.0016960738356222767,0.028736791529809125,0.038763338670833036,9.61634398251772,0.1582180776991378,0.17132509342297747,3.8467702546514606,8.657751514524776e-06
0.15,0.0017035183406430103,0.028400827786147904,0.038746061375907935,9.452631309628487,0.1290577689001703,0.16011652985281752,3.1378447465253965,8.064180989967684e-06
0.2,0.0017028379130958153,0.028414245850096147,0.038739566351675116,9.459721021354198,0.12855077261089473,0.15932996603827115,3.1256509351940616,8.050969795975236e-06
0.25,0.0017036084562581284,0.028971232551460464,0.03890662986668758,9.714294401307901,0.13437280729008327,0.16316575190588642,3.2580241898977285,8.244730214265742e-06
0.3,0.0017296321602771059,0.02883525947011852,0.03904843491424496,9.603095044692358,0.08784706757356021,0.07732423210744051,2.121188537274865,3.901071184668491e-06
0.35,0.001713696708217564,0.029145755630452186,0.03903163588256575,9.776269381244978,0.08707608021240185,0.07784029619548956,2.1050677846605312,3.943458879328484e-06
0.4,0.0017287963508654987,0.028979644708063763,0.03908804839011282,9.676601772507032,0.03018400865798709,0.024817323399353233,0.7276890799242418,1.2488508342610521e-06
0.45,0.001732595380114314,0.028980572285945527,0.03912298897436509,9.672107684115568,0.03025417179959003,0.02490321793553145,0.728794535498851,1.253716826254279e-06
0.5,0.0017495554044823318,0.02901528367268232,0.03929398104082793,9.665838832656542,0.008860362701493858,0.03305531870095949,0.21258779975476355,1.6667747072033945e-06
0.55,0.0017230997191290953,0.02918888654676266,0.039125791498615094,9.782176670928797,0.008894299849455835,0.03284053457320251,0.21447691311055836,1.6570604114210334e-06
0.6,0.0017612156905973582,0.029070684016915038,0.03942757192028997,9.679424549142519,0.008952821228111469,0.029501278391987257,0.21419603319211006,1.4863964723084064e-06
0.65,0.0017275659549037907,0.029059267908451147,0.0391132628331737,9.716424154738585,0.008792836998076316,0.029908111263459092,0.21191907622460163,1.5074715819870072e-06
0.7,0.0017863385373857454,0.029141648396034725,0.039695236405047275,9.685640635589758,-0.04364564380186312,0.0043927370094504065,-1.037538623061524,2.220171735082277e-07
0.75,0.0017418511577792135,0.029027930950784746,0.03923073424569642,9.684110837678114,-0.043933471229208286,0.0057243357140550335,-1.0553932470171863,2.90153004260561e-07
0.8,0.001851131321776241,0.029874924385997776,0.040696851133058466,9.94260120143493,0.06864657506785149,0.35570618577648455,1.6070342827648525,1.7997079427386313e-05
0.85,0.0018237562565749006,0.029652394955822576,0.040324933729910604,9.869479877253374,0.06296813026028951,0.3552999719637723,1.4838522552923454,1.7951468922398027e-05
0.9,0.0016492064428348385,0.027896640550655622,0.03801760402469275,9.258637997011343,0.907299561849887,0.7875053992114788,22.472824163293506,3.952504260411447e-05
0.95,0.001633324947761139,0.027741906446559977,0.03782870797052359,9.205816189448038,0.8932057769339067,0.7768253301476928,22.234753643502966,3.9183294923548786e-05
